date,new_orders,moving_avg_12,time_index,linear_trend_forecast
1992-01-01,102545,,0,110092
1992-02-01,109801,,1,110559
1992-03-01,115743,,2,111026
1992-04-01,113458,,3,111492
1992-05-01,115904,,4,111959
1992-06-01,123651,,5,112426
1992-07-01,112139,,6,112893
1992-08-01,116254,,7,113360
1992-09-01,125365,,8,113827
1992-10-01,119404,,9,114293
1992-11-01,116994,,10,114760
1992-12-01,113904,115430,11,115227
1993-01-01,108722,115945,12,115694
1993-02-01,115662,116433,13,116161
1993-03-01,121901,116946,14,116628
1993-04-01,116949,117237,15,117094
1993-05-01,118210,117430,16,117561
1993-06-01,125644,117596,17,118028
1993-07-01,112707,117643,18,118495
1993-08-01,119172,117886,19,118962
1993-09-01,125370,117887,20,119429
1993-10-01,121750,118082,21,119895
1993-11-01,117540,118128,22,120362
1993-12-01,112326,117996,23,120829
1994-01-01,108951,118015,24,121296
1994-02-01,116944,118122,25,121763
1994-03-01,123978,118295,26,122230
1994-04-01,118938,118461,27,122696
1994-05-01,121062,118698,28,123163
1994-06-01,128107,118904,29,123630
1994-07-01,116554,119224,30,124097
1994-08-01,127450,119914,31,124564
1994-09-01,131852,120454,32,125031
1994-10-01,128571,121023,33,125497
1994-11-01,126882,121801,34,125964
1994-12-01,124762,122838,35,126431
1995-01-01,119611,123726,36,126898
1995-02-01,128238,124667,37,127365
1995-03-01,133072,125425,38,127832
1995-04-01,129515,126306,39,128298
1995-05-01,131658,127189,40,128765
1995-06-01,138243,128034,41,129232
1995-07-01,125470,128777,42,129699
1995-08-01,135341,129435,43,130166
1995-09-01,139627,130082,44,130633
1995-10-01,136134,130713,45,131099
1995-11-01,131856,131127,46,131566
1995-12-01,128097,131405,47,132033
1996-01-01,121643,131574,48,132500
1996-02-01,128827,131624,49,132967
1996-03-01,135236,131804,50,133434
1996-04-01,133333,132122,51,133900
1996-05-01,135842,132471,52,134367
1996-06-01,139374,132565,53,134834
1996-07-01,130641,132996,54,135301
1996-08-01,138752,133280,55,135768
1996-09-01,142471,133517,56,136235
1996-10-01,141806,133990,57,136701
1996-11-01,138233,134521,58,137168
1996-12-01,132433,134883,59,137635
1997-01-01,129832,135565,60,138102
1997-02-01,136868,136235,61,138569
1997-03-01,141249,136736,62,139036
1997-04-01,139956,137288,63,139502
1997-05-01,140881,137708,64,139969
1997-06-01,145039,138180,65,140436
1997-07-01,135117,138553,66,140903
1997-08-01,143595,138957,67,141370
1997-09-01,148447,139455,68,141837
1997-10-01,147128,139898,69,142303
1997-11-01,141626,140181,70,142770
1997-12-01,137577,140610,71,143237
1998-01-01,131525,140751,72,143704
